Trial ID,Location,reps,trt,TrtN,Plot No.,Treatment Name, Rate,Rate Unit,Appl Code,PulsComposit0DBT,SwclComposit0DBT,WillowComposit0DBT,PulsControl21DAT,SwclControl21DAT,WillowControl21DAT,GrassesControl21DAT,OverAllControl21DAT,PulsControl63DAT,SwclControl63DAT,WillowControl63DAT,GrassesControl63DAT,OverAllControl63DAT,PulsComposit364DAT,GrassComposit364DAT,BrdleafComposit364DAT,PulsControl364DAT,GrassControl364DAT,BrdleafControl364DAT,OverAllControl364DAT,PulsControl707DAT,BrdleafControl707DAT,GrassControl707DAT,OverAllControl707DAT,PulsControl707DAT,BrdleafControl707DAT,GrassControl707DAT,PulsControl64DAB,BrdleafControl64DAB,GrassControl64DAB,PulsComposit353DAB,GrassComposit353DAB,BrdleafComposit353DAB,PulsControl353DAB,BrdleafControl353DAB,GrassControl353DAB,PulsComposit708DAB,BroadleaComposit708DAB,GrassesComposit708DAB
06PLS-3,Buffalo,1,1,Rodeo4,116,Rodeo,4,PT/A,A,0,50,50,NA,60,30,NA,40,NA,40,40,100,60,0,20,80,100,80,20,30,100,70,30,0,0,30,70,100,80,80,0,40,20,100,60,80,0,40,60
06PLS-3,Buffalo,1,2,Rodeo6,117,Rodeo,6,PT/A,A,0,80,20,NA,80,40,NA,50,NA,90,70,100,80,0,5,95,100,95,15,30,100,90,10,0,0,10,90,100,85,90,0,40,60,100,60,40,0,40,60
06PLS-3,Buffalo,1,3,"2,4-D2.5",118,"2,4-D Amine",2.5,PT/A,A,0,80,20,NA,80,80,NA,80,NA,95,95,10,90,10,30,60,90,70,40,30,100,50,50,0,0,50,50,100,80,10,0,45,55,100,55,45,0,40,60
06PLS-3,Buffalo,1,4,"2,4-D5",119,"2,4-D Amine",5,PT/A,A,0,50,50,NA,90,95,NA,90,NA,100,100,20,100,0,60,40,100,40,60,50,100,50,50,0,0,50,50,100,80,20,0,30,70,100,70,30,0,30,70
06PLS-3,Buffalo,1,5,Garlon3,120,Garlon 3A,3,PT/A,A,0,70,30,NA,70,80,10,70,NA,100,100,20,99,10,50,50,90,50,50,50,100,20,80,0,0,80,20,100,70,10,0,40,60,100,60,40,0,30,70
06PLS-3,Buffalo,1,6,Garlon5,121,Garlon 3A,5,PT/A,A,0,50,50,NA,80,100,NA,90,NA,100,100,20,99,0,50,50,100,50,50,50,100,20,80,0,0,80,20,100,80,10,0,40,10,100,60,90,0,50,50
06PLS-3,Buffalo,1,7,Ar4+Sun.25+UAN3,122,Arsenal,4,PT/A,A,0,50,50,NA,60,50,NA,50,NA,90,90,90,90,0,10,30,100,90,70,60,100,0,100,0,0,100,0,100,100,100,0,20,10,100,80,10,0,70,30
06PLS-3,Buffalo,1,7,Ar4+Sun.25+UAN3,122,Sun-it II,0.25,% V/V,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,1,7,Ar4+Sun.25+UAN3,122,UAN,3,PT/A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06PLS-3,Buffalo,1,8,Ar6+Sun.25+UAN3,123,Arsenal,6,PT/A,A,0,80,20,NA,80,70, ,75,NA,100,100,100,90,0,30,30,100,70,70,40,100,70,90,0,0,30,10, , , ,0,10,90,100,90,10,0,70,30
