Trial ID,Location,reps,trt,TrtN,Plot No.,Treatment Name, Rate,Rate Unit,Appl Code,PulsControl41DAT,P.peaControl41DAT,GrassControl41DAT,CattailControl41DAT,PulsControl68DAT,P.peaControl68DAT,GrassControl68DAT,CattailControl68DAT,PulsControl433DAT,BroadleafControl433DAB,GrassControl433DAB,OverallControl433DAB,PulsControl340DAA,GrassControl340DAA,PulsComposit373DAB,BroadleafComposit373DAB,GrassComposit373DAB,PulsComposit765DAC,BroadleafComposit765DAC,GrassComposit765DAC,PulsControl765DAB,BroadleafControl765DAB,GrassControl765DAB,Overall765DAB,PulsControl807DAC,BroadleafControl807DAC,GrassControl807DAC,PulsControl1081DAC,BroadleafControl1081DAC,GrassControl1081DAC,OverallControl1081DAC,PulsControl1081DAC,BroadleafControl1081DAC,GrassControl1081,PulsControl1175,BroadleafControl1175,GrassControl1175,PulsComposit1824,BroadleafComposit1824,GrassComposit1824,PulsControl1907,Broadleaf1907,Grass1907,PulsComposit1907,BroadleafComposit1907,GrassComposit1907,PulsControl2284,BroadleafControl2284, GrassControl430DAF,PulsComposit2284DAF,BroadleafComposit2284DAF,GrassComposit2284DAF,PulsComposit2545,BroadleafComposit2545DAF,GrassComposit2545DAF,PulsControl2631DAG,BroadleafControl2631DAG,GrassControl2631DAG
09 PLS-2 arm7,Dixon,1,1,Rodeo4,101,Rodeo,4,PT/A,A,95,100,100, ,90, , , ,99,100,100,100,60,40,10,80,10,10,80,10,90,20,90,0,100,80,80,100,80,20,0,0,20,80, , , ,60,30,10,80,100,100,20,0,0,100,20,80,0,80,20,0,50,50,100,40,60
09 PLS-2 arm7,Dixon,2,1,Rodeo4,213,Rodeo,4,PT/A,A,90, ,85, ,90, ,85, ,100,100,100,100,90,10,10,10,80,0,20,60,100,80,40,20,100,100,80,100,50,50,0,0,50,50, , , ,20,70,10,90,90,90,10,10,10,100,60,40,0,40,60,0,80,20,75,80,80
09 PLS-2 arm7,Dixon,3,1,Rodeo4,308,Rodeo,4,PT/A,A,90, ,100,100,90, ,80, ,100,100,100,100,90,10,10,20,70,0,70,30,100,30,70,0,100,100,80,100,90,10,0,0,10,90, , , ,20,40,40,100,100,100,0,0,0,100,70,30,0,30,70,0,30,70,100,80,70
09 PLS-2 arm7,Dixon,4,1,Rodeo4,411,Rodeo,4,PT/A,A,90,90,90,90,90, ,90, ,100,100,90,90,95,10,10,10,80,0,30,60,100,70,40,10,100,100,80,100,80,20,0,0,20,80, , , ,20,20,60,100,100,100,0,0,0,100,60,40,0,40,60,0,80,20,100,20,60
09 PLS-2 arm7,Dixon,1,2,Rodeo6,102,Rodeo,6,PT/A,A,99,100,100, ,100, , , ,100,100,100,100,90,50,0,80,20,0,40,10,100,60,90,40,100,100,100,100,90,10,0,0,10,90, , , ,20,30,50,90,100,100,10,0,0,100,20,80,0,80,20,0,50,50,100,40,60
09 PLS-2 arm7,Dixon,2,2,Rodeo6,209,Rodeo,6,PT/A,A,95,100,100, ,100, ,100, ,100,100,100,100,80,65,40,40,20,10,30,10,90,70,90,30,100,100,100,100,40,90,30,0,60,10, , , ,70,20,10,70,80,100,30,20,0,100,20,80,0,80,20,0,80,20,100,60,20
09 PLS-2 arm7,Dixon,3,2,Rodeo6,313,Rodeo,6,PT/A,A,95,100,100,80,100, ,100,80,100,100,100,100,95,40,10,50,40,0,70,30,100,30,70,0,100,100,100,100,50,50,0,0,50,50, , , ,40,30,30,70,80,90,30,20,10,100,40,60,0,60,40,0,80,20,100,60,20
09 PLS-2 arm7,Dixon,4,2,Rodeo6,406,Rodeo,6,PT/A,A,100,100,100,100,100, ,100,90,100,100,80,80,85,30,10,10,80,0,80,10,100,20,90,10,100,100,100,100,20,80,0,0,80,20, , , ,20,50,30,90,90,100,10,10,0,80,60,60,20,40,40,20,70,10,100,60,20
09 PLS-2 arm7,Dixon,1,3,"2,4-D2.5",103,"2,4-D Amine",2.5,PT/A,A,60,80,30, ,60,90,20, ,85,100,20,70,30,30,70,0,30,90,0,10,10,100,90,0,80,90,20,20,90,90,0,80,10,10,60,80,10,70,20,10,60,60,20,40,40,80,60,70,70,40,30,30,30,30,40,60,40,20
09 PLS-2 arm7,Dixon,2,3,"2,4-D2.5",201,"2,4-D Amine",2.5,PT/A,A,60, , , ,50,70,30, ,90,90,10,70,50,30,60,30,10,80,10,10,20,90,90,0,70,80,20,10,100,90,0,90,0,10,50,80,10,80,10,10,50,80,10,50,20,90,60,80,60,40,20,40,60,20,20,60,80,20
